"보고 시작","보고 종료","캠페인 이름","캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-11-14,2025-11-19,241114_노피_카톡채널유입_참여,inactive,"클릭 후 7일 또는 조회 후 1일",42,actions:post_engagement,80,1.0875,139.42857143,"광고 세트 예산 사용 중",0,5856,2024-11-17,87,67310.344828,1,,5856,1.149425,1,1.149425,5856,,
2024-11-14,2025-11-19,241126_노피_인스타_도달,inactive,"클릭 후 7일 또는 조회 후 1일",190,reach,190,1.463158,352.63157895,"광고 세트 예산 사용 중",0,67,2024-11-28,278,241.007194,,,,,0,0,0,,
2024-11-14,2025-11-19,241126_노피_휴대폰_트래픽,not_delivering,"클릭 후 7일 또는 조회 후 1일",26530,actions:link_click,133535,2.361306,96.0988692,"광고 세트 예산 사용 중",0,2549503,Ongoing,315317,8085.523457,26530,,96.098869,8.413755,28625,9.078166,89.065607,26145,97.51398
2024-11-14,2025-11-19,"노피 웹플로우 테스트 캠페인",inactive,"클릭 후 7일 또는 조회 후 1일",247,actions:link_click,2303,1.497178,130.93927126,"광고 세트 예산 사용 중",0,32342,Ongoing,3448,9379.930394,247,,130.939271,7.163573,247,7.163573,130.939271,,
2024-11-14,2025-11-19,"241126_노피 인터넷_트래픽",inactive,"클릭 후 7일 또는 조회 후 1일",1455,actions:link_click,29560,1.3023,142.03780069,"광고 세트 예산 사용 중",0,206665,Ongoing,38496,5368.479842,1455,,142.037801,3.779613,1502,3.901704,137.593209,1334,154.921289
2024-11-14,2025-11-19,"Instagram post: 📱 00~06년생 주목 📱

댓글 + 친구태그만 하면...",inactive,"클릭 후 7일 또는 조회 후 1일",7,actions:link_click,1053,1.035138,368.71428571,5000,"총 예산",2581,2025-11-18,1090,2367.889908,7,,368.714286,0.642202,6,0.550459,430.166667,,
